CustomerID,LookalikeID,SimilarityScore
C0001,C0184,0.9970087389171473
C0001,C0191,0.9929363659351825
C0001,C0048,0.9917516665685336
C0002,C0088,0.9982007060388279
C0002,C0177,0.9846701934694525
C0002,C0027,0.9780239844661819
C0003,C0174,0.9835004013991157
C0003,C0011,0.9521310709083018
C0003,C0137,0.9493525129410708
C0004,C0102,0.9840305162477107
C0004,C0087,0.9768035625415651
C0004,C0165,0.9668405082709138
C0005,C0140,0.9934530565700977
C0005,C0007,0.991560676040358
C0005,C0177,0.9873715142669597
C0006,C0126,0.99182681165289
C0006,C0187,0.9882908085257863
C0006,C0011,0.9827989940212801
C0007,C0177,0.9975204441353754
C0007,C0178,0.9973830946125853
C0007,C0005,0.991560676040358
C0008,C0034,0.9521446900478754
C0008,C0067,0.9301073153158043
C0008,C0194,0.9272744199177949
C0009,C0198,0.9988635653633567
C0009,C0014,0.9954771404467803
C0009,C0063,0.9939804701428934
C0010,C0199,0.9808469629513145
C0010,C0086,0.9742963408910625
C0010,C0069,0.9613331162923437
C0011,C0107,0.9954858720464473
C0011,C0006,0.9827989940212801
C0011,C0137,0.9771137895519115
C0012,C0163,0.9920369630223765
C0012,C0013,0.9818863168658272
C0012,C0169,0.9817323995054821
C0013,C0163,0.9964844679082673
C0013,C0096,0.991096282808091
C0013,C0104,0.9864253384993027
C0014,C0060,0.9994388473068284
C0014,C0198,0.9961564073129036
C0014,C0009,0.9954771404467803
C0015,C0020,0.9986626885735082
C0015,C0058,0.9895685556065563
C0015,C0033,0.9883920563760824
C0016,C0154,0.9941370369138229
C0016,C0185,0.9907696793929625
C0016,C0117,0.9876552554264799
C0017,C0053,0.9773711257008914
C0017,C0075,0.9549233787320817
C0017,C0182,0.8895079586751881
C0018,C0024,0.943186040936457
C0018,C0139,0.9293812397527749
C0018,C0079,0.9271713700403938
C0019,C0172,0.9977251579493386
C0019,C0167,0.9800964946728313
C0019,C0135,0.973612504977584
C0020,C0015,0.9986626885735082
C0020,C0058,0.9956836441709699
C0020,C0033,0.9939723117030241
